SPEEDELEC Booster; 35; 10900; FALSE; 13200; green; 1279
FOLDING BIKE FOLDING BIKE Comanche; 16; 1; 15600; FALSE; dark gray; 619
FOLDING BIKE FOLDING BIKE Polygon; 20; 3; 16600; FALSE; marine; 1419
E-BIKE GoCycle; 35; 25700; FALSE; 24000; brown; 2605
SPEEDELEC Peugeot; 20; 14300; FALSE; 7800; violet; 925
SPEEDELEC Aest; 20; 19900; FALSE; 2600; emerald; 1279
E-BIKE ION; 35; 25100; FALSE; 12000; marine; 1059
FOLDING BIKE FOLDING BIKE Benetti; 24; 1; 16100; FALSE; violet; 329
FOLDING BIKE FOLDING BIKE Make Bike; 20; 24; 8400; FALSE; marine; 1365
E-BIKE Scott; 45; 28100; FALSE; 15000; rose; 2365
SPEEDELEC OIO; 25; 16400; FALSE; 7700; khaki; 1469
E-BIKE Ecofect; 35; 24400; FALSE; 28000; brown; 1789
E-BIKE Felt; 55; 24200; FALSE; 15000; yellow; 965
FOLDING BIKE FOLDING BIKE Intertool; 24; 24; 9100; FALSE; orange; 629
FOLDING BIKE FOLDING BIKE Author; 18; 8; 9000; FALSE; grey; 925
E-BIKE Scott; 65; 20400; FALSE; 24000; orange; 3209
E-BIKE Ecofect; 40; 21500; FALSE; 26000; black; 2185
FOLDING BIKE FOLDING BIKE Cayman; 20; 1; 13600; FALSE; golden; 1045
SPEEDELEC Tesla; 65; 8300; FALSE; 5100; grey; 475
FOLDING BIKE FOLDING BIKE Cayman; 26; 7; 13100; FALSE; emerald; 269
FOLDING BIKE FOLDING BIKE Formula; 26; 6; 10400; FALSE; flame; 825
FOLDING BIKE FOLDING BIKE Dahon; 26; 6; 16800; FALSE; yellow; 229
FOLDING BIKE FOLDING BIKE Formula; 20; 6; 8800; FALSE; grey; 729
E-BIKE ElectrO; 40; 26700; FALSE; 17000; grenadine; 2729
SPEEDELEC Kugoo; 25; 13600; FALSE; 10800; dark gray; 1125
SPEEDELEC Tesla; 25; 18800; FALSE; 12800; blue; 1019
FOLDING BIKE FOLDING BIKE BMW; 14; 1; 13800; FALSE; orange; 1655
SPEEDELEC OIO; 45; 16900; FALSE; 4700; violet; 945
FOLDING BIKE FOLDING BIKE Benetti; 24; 3; 9700; FALSE; white; 1349
E-BIKE Mercedes; 25; 26000; FALSE; 30000; orange; 3445
SPEEDELEC Kugoo; 30; 9300; FALSE; 7900; dark gray; 559
SPEEDELEC Speedway; 65; 15900; FALSE; 2100; flame; 1135
SPEEDELEC Segway; 40; 6700; FALSE; 9900; pink; 969
FOLDING BIKE FOLDING BIKE Crosser; 18; 8; 8700; FALSE; olive; 1575
SPEEDELEC Kugoo; 15; 21800; FALSE; 4100; grey; 805
FOLDING BIKE FOLDING BIKE Kross; 20; 1; 12700; FALSE; grey; 865
FOLDING BIKE FOLDING BIKE Crosser; 20; 7; 9700; FALSE; black; 609
E-BIKE Scott; 45; 28900; FALSE; 30000; yellow; 1185
FOLDING BIKE FOLDING BIKE West Bike; 26; 24; 13300; FALSE; brown; 185
E-BIKE Ecofect; 60; 21100; FALSE; 21000; flame; 2149
E-BIKE Gazelle; 35; 26100; FALSE; 14000; marine; 2515
E-BIKE Mando Footloose; 65; 27700; FALSE; 20000; beige; 1849
FOLDING BIKE FOLDING BIKE Crosser; 20; 9; 12100; FALSE; grey; 1529
E-BIKE Zaxboard; 30; 23700; FALSE; 26000; lemon; 2889
SPEEDELEC E-Scooter; 55; 16500; FALSE; 7200; marine; 659
FOLDING BIKE FOLDING BIKE Kross; 24; 24; 8500; FALSE; olive; 579
E-BIKE Farad; 65; 28400; FALSE; 14000; olive; 1149
FOLDING BIKE FOLDING BIKE BMW; 18; 9; 10300; FALSE; rose; 1065
E-BIKE Lankeleisi; 50; 27800; FALSE; 26000; orange; 705
E-BIKE ION; 35; 21700; FALSE; 10000; golden; 2635
E-BIKE ION; 50; 22100; FALSE; 29000; brown; 945
SPEEDELEC Kugoo; 50; 16200; FALSE; 10500; silver; 599
SPEEDELEC Maraton; 55; 8500; FALSE; 2300; pink; 1389
SPEEDELEC Speedway; 60; 9900; FALSE; 6100; marine; 445
E-BIKE Mercedes; 60; 20400; FALSE; 24000; grey; 3105
E-BIKE Mercedes; 65; 27800; FALSE; 12000; violet; 3015
SPEEDELEC E-Scooter; 10; 16800; FALSE; 3700; brown; 849
FOLDING BIKE FOLDING BIKE Author; 20; 27; 9200; FALSE; red; 1135
SPEEDELEC Xiaomi; 15; 6700; FALSE; 11300; emerald; 1225
FOLDING BIKE FOLDING BIKE Make Bike; 20; 18; 10500; FALSE; lemon; 869
FOLDING BIKE FOLDING BIKE Titan; 20; 18; 15600; FALSE; green; 665
SPEEDELEC Tesla; 55; 20800; FALSE; 14500; grenadine; 885
SPEEDELEC Segway; 55; 16300; FALSE; 6000; brown; 1389
FOLDING BIKE FOLDING BIKE Intertool; 20; 24; 10900; FALSE; pink; 729
SPEEDELEC Peugeot; 50; 10200; FALSE; 10600; orange; 1195
SPEEDELEC E-Scooter; 65; 6600; FALSE; 9700; golden; 1435
FOLDING BIKE FOLDING BIKE Comanche; 20; 21; 13300; FALSE; dark gray; 405
E-BIKE Porshe Design; 30; 28300; FALSE; 31000; flame; 689
E-BIKE Xiaomi; 40; 22900; FALSE; 9000; dark gray; 1465
E-BIKE Haibike; 30; 22600; FALSE; 21000; grenadine; 1405
SPEEDELEC Speedelec Minirider; 60; 14500; FALSE; 12400; marine; 1475
FOLDING BIKE FOLDING BIKE Intertool; 20; 6; 15300; FALSE; rose; 655
SPEEDELEC Freego; 10; 12900; FALSE; 9400; flame; 759
SPEEDELEC AirWheel; 65; 6900; FALSE; 6300; green; 1615
FOLDING BIKE FOLDING BIKE West Bike; 24; 27; 12300; FALSE; black; 1065
E-BIKE Felt; 35; 24900; FALSE; 22000; grenadine; 1465
SPEEDELEC Smart; 55; 15500; FALSE; 5900; grey; 315
FOLDING BIKE FOLDING BIKE Comanche; 20; 6; 16600; FALSE; red; 1535
FOLDING BIKE FOLDING BIKE Titan; 16; 18; 14600; FALSE; black; 1085
E-BIKE Zaxboard; 65; 28700; FALSE; 11000; silver; 2975
SPEEDELEC Speedelec Minirider; 35; 7200; FALSE; 7200; white; 1665
E-BIKE Koga; 50; 19500; FALSE; 12000; flame; 1725
FOLDING BIKE FOLDING BIKE Cayman; 24; 1; 8900; FALSE; rose; 1615
FOLDING BIKE FOLDING BIKE Crosser; 20; 7; 8300; FALSE; olive; 945
SPEEDELEC AirWheel; 65; 15700; FALSE; 10500; blue; 585
FOLDING BIKE FOLDING BIKE West Bike; 20; 6; 16300; FALSE; beige; 1025
FOLDING BIKE FOLDING BIKE VNV; 20; 8; 14000; FALSE; golden; 939
FOLDING BIKE FOLDING BIKE Comanche; 18; 24; 13700; FALSE; marine; 755
SPEEDELEC Kugoo; 40; 13600; FALSE; 12000; yellow; 1315
E-BIKE ION; 35; 22400; FALSE; 17000; khaki; 1005
E-BIKE Rover; 50; 25200; FALSE; 24000; coral; 2255
FOLDING BIKE FOLDING BIKE Titan; 14; 27; 11900; FALSE; coral; 1559
SPEEDELEC Peugeot; 30; 14000; FALSE; 12300; golden; 1175
E-BIKE Farad; 35; 19700; FALSE; 11000; brown; 3435
E-BIKE E-Motion; 65; 25900; FALSE; 13000; green; 2919
E-BIKE Koga; 60; 21200; FALSE; 15000; brown; 1135
SPEEDELEC Freego; 50; 10600; FALSE; 2300; brown; 125
E-BIKE ElectrO; 55; 22700; FALSE; 26000; flame; 805
FOLDING BIKE FOLDING BIKE BMW; 20; 18; 11500; FALSE; green; 469
E-BIKE E-Motion; 40; 26500; FALSE; 14000; golden; 1715
FOLDING BIKE FOLDING BIKE Comanche; 20; 7; 14900; FALSE; white; 1369
E-BIKE Haibike; 30; 24200; FALSE; 19000; pink; 849
FOLDING BIKE FOLDING BIKE West Bike; 20; 18; 11100; FALSE; rose; 1305
E-BIKE Rover; 40; 25600; FALSE; 20000; red; 1489
FOLDING BIKE FOLDING BIKE VNV; 24; 8; 9700; FALSE; coral; 1459
SPEEDELEC ITrike; 40; 19900; FALSE; 11600; violet; 1285
FOLDING BIKE FOLDING BIKE Formula; 18; 21; 10900; FALSE; green; 1419
E-BIKE Scott; 50; 21600; FALSE; 25000; yellow; 739
E-BIKE Mando Footloose; 50; 19200; FALSE; 28000; yellow; 1385
SPEEDELEC Xiaomi; 35; 18100; FALSE; 10300; violet; 1499
E-BIKE ElectrO; 55; 22400; FALSE; 16000; red; 2109
SPEEDELEC Segway; 55; 11900; FALSE; 2000; marine; 339
E-BIKE Xiaomi; 25; 22600; FALSE; 14000; flame; 1735
FOLDING BIKE FOLDING BIKE Flex; 24; 1; 11000; FALSE; dark gray; 389
E-BIKE Porshe Design; 30; 28700; FALSE; 31000; golden; 1619
FOLDING BIKE FOLDING BIKE Author; 18; 24; 10300; FALSE; green; 1015
E-BIKE Mando Footloose; 20; 23300; FALSE; 17000; violet; 1339
E-BIKE ION; 45; 24600; FALSE; 30000; pink; 1595
E-BIKE Rover; 65; 24700; FALSE; 27000; green; 2779
SPEEDELEC Maraton; 25; 9000; FALSE; 9000; dark gray; 1565
E-BIKE Ferrari; 35; 25600; FALSE; 10000; grenadine; 1555
E-BIKE GoCycle; 65; 26900; FALSE; 12000; beige; 1945
FOLDING BIKE FOLDING BIKE Dahon; 20; 1; 8200; FALSE; green; 1435
E-BIKE GoCycle; 40; 24000; FALSE; 15000; grenadine; 1005
SPEEDELEC Segway; 40; 11200; FALSE; 11400; brown; 209
E-BIKE SkyBike; 35; 26800; FALSE; 25000; grey; 899
E-BIKE Ecofect; 35; 23500; FALSE; 13000; golden; 3389
SPEEDELEC Xiaomi; 40; 9300; FALSE; 14700; coral; 609
SPEEDELEC OIO; 65; 12600; FALSE; 8800; coral; 199
SPEEDELEC Kugoo; 10; 8100; FALSE; 9900; grey; 1299
SPEEDELEC Freego; 25; 18300; FALSE; 7100; flame; 1059
E-BIKE Lankeleisi; 60; 24400; FALSE; 13000; white; 3095
SPEEDELEC OIO; 55; 9000; FALSE; 9500; black; 199
E-BIKE Scott; 55; 23200; FALSE; 11000; violet; 1625
E-BIKE Mando Footloose; 65; 19900; FALSE; 8000; coral; 1949
SPEEDELEC Kugoo; 25; 15100; FALSE; 11300; black; 1429
FOLDING BIKE FOLDING BIKE Benetti; 14; 27; 10200; FALSE; khaki; 1129
E-BIKE Mando Footloose; 65; 22500; FALSE; 30000; lemon; 1365
SPEEDELEC Xiaomi; 20; 17400; FALSE; 4200; emerald; 785
E-BIKE Ecofect; 20; 27300; FALSE; 16000; golden; 1595
E-BIKE Lankeleisi; 25; 26600; FALSE; 9000; yellow; 3289
E-BIKE Rover; 65; 25100; FALSE; 29000; grey; 2939
SPEEDELEC Tesla; 20; 19700; FALSE; 2200; violet; 799
E-BIKE SkyBike; 55; 28600; FALSE; 30000; black; 2159
SPEEDELEC EcoRide; 30; 13400; FALSE; 11500; lemon; 1615
SPEEDELEC Speedelec Minirider; 15; 18800; FALSE; 13100; white; 729
E-BIKE ElectrO; 50; 28100; FALSE; 11000; silver; 3139
SPEEDELEC EcoRide; 65; 21700; FALSE; 12900; flame; 795
E-BIKE Farad; 30; 22500; FALSE; 10000; rose; 1745
FOLDING BIKE FOLDING BIKE Benetti; 18; 7; 10900; FALSE; beige; 1165
FOLDING BIKE FOLDING BIKE Titan; 24; 7; 16500; FALSE; golden; 1295
SPEEDELEC Booster; 65; 20300; FALSE; 15500; red; 175
E-BIKE Porshe Design; 60; 27000; FALSE; 13000; marine; 659
SPEEDELEC AirWheel; 15; 11200; FALSE; 11200; pink; 419
SPEEDELEC Ultron; 45; 21000; FALSE; 3700; beige; 239
E-BIKE Zaxboard; 60; 28900; FALSE; 14000; black; 3115
E-BIKE Lankeleisi; 65; 25100; FALSE; 25000; khaki; 2859
E-BIKE E-Motion; 45; 19600; FALSE; 24000; silver; 1489
FOLDING BIKE FOLDING BIKE Flex; 20; 7; 8500; FALSE; flame; 455
FOLDING BIKE FOLDING BIKE Stern; 20; 1; 9500; FALSE; coral; 1055
FOLDING BIKE FOLDING BIKE Trinx; 20; 27; 14600; FALSE; pink; 465
E-BIKE Ferrari; 35; 20600; FALSE; 10000; emerald; 805
FOLDING BIKE FOLDING BIKE Stern; 24; 24; 14400; FALSE; marine; 705
FOLDING BIKE FOLDING BIKE BMW; 16; 9; 12600; FALSE; emerald; 1649
SPEEDELEC Booster; 45; 7500; FALSE; 6500; coral; 1175
FOLDING BIKE FOLDING BIKE West Bike; 14; 9; 16200; FALSE; dark gray; 209
FOLDING BIKE FOLDING BIKE Dahon; 20; 8; 16900; FALSE; dark gray; 1595
E-BIKE Scott; 20; 19800; FALSE; 9000; lemon; 1455
SPEEDELEC Kugoo; 55; 14000; FALSE; 12400; marine; 1489
FOLDING BIKE FOLDING BIKE Titan; 20; 8; 8800; FALSE; yellow; 1665
E-BIKE Scott; 35; 24500; FALSE; 14000; flame; 1775
E-BIKE ION; 45; 21300; FALSE; 14000; brown; 3149
FOLDING BIKE FOLDING BIKE Trinx; 26; 7; 11600; FALSE; grey; 1099
SPEEDELEC Segway; 20; 13300; FALSE; 5900; silver; 335
SPEEDELEC AirWheel; 40; 7700; FALSE; 11600; orange; 1319
FOLDING BIKE FOLDING BIKE Cayman; 24; 21; 12700; FALSE; emerald; 279
SPEEDELEC Peugeot; 20; 19300; FALSE; 14200; red; 1075
SPEEDELEC AirWheel; 35; 9800; FALSE; 10900; rose; 155
E-BIKE Xiaomi; 45; 26100; FALSE; 13000; green; 1269
SPEEDELEC Ultron; 60; 9200; FALSE; 14800; grey; 1549
SPEEDELEC E-Scooter; 35; 8800; FALSE; 14200; beige; 245
E-BIKE Mercedes; 55; 26200; FALSE; 12000; orange; 1765
FOLDING BIKE FOLDING BIKE Brompton; 26; 6; 15400; FALSE; grenadine; 519
SPEEDELEC Kugoo; 55; 11400; FALSE; 12300; lemon; 1325
FOLDING BIKE FOLDING BIKE Make Bike; 26; 1; 13900; FALSE; orange; 705
FOLDING BIKE FOLDING BIKE Formula; 20; 21; 11100; FALSE; rose; 1675
E-BIKE Gazelle; 30; 20400; FALSE; 29000; grenadine; 2195
FOLDING BIKE FOLDING BIKE Formula; 24; 27; 8500; FALSE; flame; 1485
FOLDING BIKE FOLDING BIKE Benetti; 14; 7; 9500; FALSE; grey; 189
SPEEDELEC EcoRide; 25; 9200; FALSE; 3200; dark gray; 289
SPEEDELEC Maraton; 40; 14500; FALSE; 12200; lemon; 885
FOLDING BIKE FOLDING BIKE Comanche; 14; 27; 13400; FALSE; white; 1255
FOLDING BIKE FOLDING BIKE SkyBike; 20; 24; 15800; FALSE; red; 755
E-BIKE SkyBike; 45; 23500; FALSE; 30000; rose; 2245
E-BIKE Scott; 45; 25600; FALSE; 28000; olive; 1215
FOLDING BIKE FOLDING BIKE VNV; 24; 24; 11000; FALSE; coral; 1505
FOLDING BIKE FOLDING BIKE Author; 20; 3; 12800; FALSE; silver; 1505
E-BIKE Haibike; 60; 21400; FALSE; 14000; golden; 2885
SPEEDELEC Aest; 45; 14300; FALSE; 5800; blue; 1049
FOLDING BIKE FOLDING BIKE Author; 20; 24; 14500; FALSE; rose; 509
E-BIKE Lankeleisi; 50; 20500; FALSE; 19000; white; 859
E-BIKE GoCycle; 60; 25400; FALSE; 29000; green; 1495
E-BIKE Ecofect; 35; 28200; FALSE; 9000; brown; 2145
SPEEDELEC Speedelec Minirider; 30; 16900; FALSE; 11000; beige; 985
FOLDING BIKE FOLDING BIKE Trinx; 24; 1; 11300; FALSE; blue; 975
FOLDING BIKE FOLDING BIKE Flex; 24; 6; 16100; FALSE; khaki; 569
E-BIKE Ferrari; 55; 23500; FALSE; 25000; violet; 1649
E-BIKE ElectrO; 35; 19100; FALSE; 31000; golden; 2179
SPEEDELEC Speedway; 10; 19200; FALSE; 6400; black; 399
E-BIKE Koga; 60; 24100; FALSE; 23000; orange; 1485
FOLDING BIKE FOLDING BIKE VNV; 24; 1; 10100; FALSE; red; 575
E-BIKE SkyBike; 45; 21700; FALSE; 10000; black; 2119
SPEEDELEC Kugoo; 15; 21100; FALSE; 9700; flame; 1429
FOLDING BIKE FOLDING BIKE Formula; 14; 1; 13900; FALSE; khaki; 425
E-BIKE SkyBike; 25; 19100; FALSE; 11000; golden; 1125
E-BIKE SkyBike; 30; 28600; FALSE; 20000; green; 2809
FOLDING BIKE FOLDING BIKE Flex; 20; 27; 16300; FALSE; white; 1409
SPEEDELEC Ultron; 35; 21700; FALSE; 14600; orange; 1645
E-BIKE Haibike; 65; 24900; FALSE; 13000; white; 1415
E-BIKE ION; 40; 24700; FALSE; 27000; dark gray; 1989
FOLDING BIKE FOLDING BIKE Stern; 26; 21; 11100; FALSE; orange; 465
FOLDING BIKE FOLDING BIKE Titan; 20; 3; 8200; FALSE; red; 355
SPEEDELEC Booster; 45; 13600; FALSE; 14100; khaki; 865
FOLDING BIKE FOLDING BIKE Stern; 26; 3; 14900; FALSE; beige; 819
E-BIKE Zaxboard; 55; 28800; FALSE; 30000; black; 2395
E-BIKE Lankeleisi; 45; 28800; FALSE; 13000; pink; 1209
FOLDING BIKE FOLDING BIKE Trinx; 20; 27; 8000; FALSE; grey; 885
E-BIKE Rover; 60; 19900; FALSE; 14000; grenadine; 3089
SPEEDELEC Tesla; 25; 18200; FALSE; 10500; khaki; 559
E-BIKE Ecofect; 60; 23100; FALSE; 10000; golden; 1729
SPEEDELEC Segway; 50; 8800; FALSE; 13600; coral; 865
SPEEDELEC Freego; 30; 10100; FALSE; 2600; khaki; 1679
E-BIKE ElectrO; 35; 27000; FALSE; 21000; black; 2735
SPEEDELEC Booster; 50; 10200; FALSE; 2500; green; 1525
FOLDING BIKE FOLDING BIKE Polygon; 24; 3; 16200; FALSE; blue; 655
E-BIKE Ecofect; 25; 23800; FALSE; 16000; beige; 2869
FOLDING BIKE FOLDING BIKE SkyBike; 24; 6; 16800; FALSE; khaki; 445
SPEEDELEC Speedelec Minirider; 65; 14100; FALSE; 5000; white; 1499
E-BIKE Farad; 45; 20100; FALSE; 14000; lemon; 2379
SPEEDELEC Booster; 50; 9300; FALSE; 5600; khaki; 455
SPEEDELEC Kugoo; 45; 9200; FALSE; 8400; dark gray; 1355
SPEEDELEC Kugoo; 30; 13000; FALSE; 4400; black; 489
FOLDING BIKE FOLDING BIKE Cayman; 20; 1; 16800; FALSE; black; 669
SPEEDELEC Speedway; 35; 9400; FALSE; 2400; green; 1419
SPEEDELEC Freego; 30; 16400; FALSE; 6000; blue; 1665
SPEEDELEC Tesla; 45; 20700; FALSE; 14600; olive; 205
E-BIKE Ecofect; 35; 27000; FALSE; 18000; olive; 1989
SPEEDELEC ITrike; 50; 12000; FALSE; 11600; marine; 245
E-BIKE ION; 25; 27700; FALSE; 17000; green; 3235
E-BIKE Koga; 35; 24900; FALSE; 29000; white; 729
SPEEDELEC Tesla; 15; 12200; FALSE; 2300; khaki; 615
FOLDING BIKE FOLDING BIKE BMW; 20; 1; 10500; FALSE; blue; 635
FOLDING BIKE FOLDING BIKE West Bike; 20; 7; 14700; FALSE; golden; 299
FOLDING BIKE FOLDING BIKE West Bike; 18; 6; 15600; FALSE; blue; 1219
E-BIKE Lankeleisi; 60; 28200; FALSE; 15000; coral; 2429
SPEEDELEC Peugeot; 50; 20800; FALSE; 15700; silver; 1279
FOLDING BIKE FOLDING BIKE Polygon; 24; 6; 16400; FALSE; coral; 725
FOLDING BIKE FOLDING BIKE SkyBike; 20; 3; 11900; FALSE; yellow; 1115
SPEEDELEC Tesla; 15; 9500; FALSE; 13200; lemon; 285
SPEEDELEC Freego; 35; 21300; FALSE; 4500; yellow; 779
E-BIKE Haibike; 30; 22700; FALSE; 24000; black; 1085
SPEEDELEC Kugoo; 50; 20300; FALSE; 4400; flame; 299
FOLDING BIKE FOLDING BIKE Titan; 14; 18; 13300; FALSE; emerald; 285
SPEEDELEC OIO; 45; 9700; FALSE; 10500; olive; 785
SPEEDELEC OIO; 15; 7100; FALSE; 9400; rose; 1065
SPEEDELEC OIO; 55; 19900; FALSE; 10900; brown; 435
SPEEDELEC Kugoo; 65; 17700; FALSE; 15100; khaki; 539
FOLDING BIKE FOLDING BIKE Author; 18; 8; 11600; FALSE; red; 279
FOLDING BIKE FOLDING BIKE West Bike; 14; 7; 14700; FALSE; black; 1289
SPEEDELEC Dualtron; 50; 17300; FALSE; 15500; flame; 1549
SPEEDELEC Booster; 10; 20000; FALSE; 11800; dark gray; 1095
FOLDING BIKE FOLDING BIKE Stern; 20; 27; 16500; FALSE; white; 439
SPEEDELEC Dualtron; 60; 20500; FALSE; 15600; golden; 869
SPEEDELEC Ultron; 60; 7000; FALSE; 11400; lemon; 1055
E-BIKE Ferrari; 60; 28900; FALSE; 21000; brown; 825
